advent;vier;kranz;weihnachten;kirche;
affe;mensch;vorfahren;tier;klettern;banane
Airbag;Auto;Fahrer;Schutz;Luft;Aufprall
alkohol;likör;bier;trinken;prozent;betrunken
allergie;niesen;pollen;frühling;saison;husten
alphabet;buchstabe;26;sprechen;schreiben;schule
apfel;computer;frucht;rot;steve jobs;baum
applaus;klatschen;auftritt;stehen;konzert;dank
architekt;kreieren;bauen;haus;konstruktion;ted
atlas;globus;karte;welt;land;meer
Ausbeutung;Geld;Arbeit;Kinder;Armut;
banane;affe;gelb;pulen;obst;essen
bär;wald;tier;braun;groß;fisch
Beschützer;helfen;für jemanden da sein;liebe;gefahr;
Bildung;Schule;lesen;Kinder;schreiben;
Biodiesel;Motor;Kraftstoff;Tanken;Öl;Benzin
blitz;gewitter;schwarz;wolke;regen;donner
blume;schön;frühling;blätter;blühen;riechen
Blumenstrauß;Rose;Geburtstag;grün;riechen;
Blut;körper;rot;Wunde;Spende;
brot;frühstück;getreide;backen;essen;morgens
buch;lesen;story;autor;cover;geschichte
chor;singen;musik;kirche;notenblätter;
computer;pc;laptop;desktop;internet;apple
Corona;Situation;Quarantäne;Virus;Ausgangsbeschränkung;Klopapier
Date;Verabredung;Traummann;Traumfrau;ausgehen;Kino
drucker;papier;dokument;tinte;kopieren;scannen
dusche;sauber;wasser;seife;stehen;nass
e-mail;internet;nachricht;elektronik;online;senden
ehrlich;Wahrheit;lügen;sagen;zugeben;
ei;huhn;essen;frühstück;weiß;gelb
eierplätzchen;festival;grundlage;gebäck;keks;rund
Eifersucht;betrügen;misstrauen;küssen;Freund;Freundin
Einhorn;Pferd;Horn;Fabel;;
eisbär;arktis;weiß;tier;inuit;knut
Energie;Strom;Kraft;erneuerbar;Batterie;sparen
EnergiesparLampe;Glühbirne;Verbrauch;Preis;Lebensdauer;Strom
Engel;Himmel;Flügel;weiß;gut;
fahrrad;räder;pedal;lenker;transportieren;gepäckträger
fantasie;traum;vorstellen;einhorn;kobold;surreal
fenster;haus;licht;luft;lüften;auf
fernbedienung;fernseher;kabellos;schalten;sender;taste
fest;feier;party;geburtstag;einweihung;kuchen
feuer;flamen;heiß;holz;eis;hitze
feuerwerk;silvester;disney;glitzern;himmel;rakete
Filmriss;Absturz;Saufen;Alkohol;Tequila;Vodka
fingernägel;schere;feile;nagellack;maniküre;hand
flagge;sterne;streifen;amerika;mast;stange
Flüchtlinge;Armut;fliehen;Krieg;Not;
flugzeug;fliegen;pilot;luft;himmel;urlaub
Foto;Bild;Kamera;bilderrahmen;Farben;Erinnerung
frage;sprechen;antwort;wissen;helfen;lernen
Gartenzwerg;Keramik;draußen;rot;Spießer;Haus
geburt;schwanger;baby;tag;krankenhaus;familie
gefrierschrank;kalt;kühlen;eis;laden;essen
gehirn;kopf;organ;wissen;lernen;schädel
geisterstadt;wüste;cowboy;western;goldrausch;steppenläufer
Geschenk;Geburtstag;Papier;Schachtel;Schleife;
gespenst;weiß;erschrecken;tot;fliegen;schloss
glas;scherben;trinken;durchsichtig;fenster;empfindlich
Gletscher;schmelzen;Erwärmung;Eis;Berg;Antarktis
Globalisierung;Vernetzung;weltweit;Gemeinschaft;modern;
globus;karte;welt;atlas;erde;rund
goldtopf;regenbogen;wasser;regen;kobald;reich
